id,country_id,gdp_per_capita,extreme_poverty,handwashing_facilities
1,1,1803.987,,37.746
2,2,,,
3,3,11803.431,1.1,
4,4,13913.839,0.5,83.741
5,5,,,
6,6,5819.495,,26.664
7,7,,,
8,8,21490.943,,
9,9,18933.907,0.6,
10,10,8787.58,1.8,94.043
11,11,35973.781,,
12,12,,,
13,13,44648.71,0.5,
14,14,45436.686,0.7,
15,15,15847.419,,83.241
16,16,27717.847,,
17,17,43290.705,,
18,18,3523.984,14.8,34.808
19,19,16978.068,,88.469
20,20,17167.967,,
21,21,42658.576,0.2,
22,22,7824.362,,90.083
23,23,2064.236,49.6,11.035
24,24,50669.315,,
25,25,8708.597,1.5,79.807
26,26,6885.829,7.1,25.383
27,27,,,
28,28,11713.895,0.2,97.164
29,29,15807.374,,
30,30,14103.452,3.4,
31,31,,,
32,32,71809.251,,
33,33,18563.307,1.5,
34,34,1703.102,43.7,11.877
35,35,702.225,71.7,6.144
36,36,3645.07,,66.229
37,37,3364.926,23.8,2.735
38,38,44017.591,0.5,
39,39,6222.554,,
40,40,49903.029,,
41,41,661.24,,16.603
42,42,1768.153,38.4,5.818
43,43,22767.037,1.3,
44,44,15308.712,0.7,
45,45,13254.949,4.5,65.386
46,46,1413.89,18.1,15.574
47,47,4881.406,37.0,47.964
48,48,,,
49,49,15524.995,1.3,83.841
50,50,3601.006,28.2,19.351
51,51,22669.797,0.7,
52,52,,,85.198
53,53,,,
54,54,32415.132,,
55,55,32605.906,,
56,56,808.133,77.1,4.472
57,57,46682.515,0.2,
58,58,2705.406,22.5,
59,59,9673.367,,
60,60,14600.861,1.6,55.182
61,61,10581.936,3.6,80.635
62,62,10550.206,1.3,89.827
63,63,7292.458,2.2,90.65
64,64,22604.873,,24.64
65,65,1510.459,,
66,66,29481.252,0.5,
67,67,7738.975,,24.097
68,68,1729.927,26.7,7.96
69,69,,,
70,70,,,
71,71,,,
72,72,,,
73,73,8702.975,1.4,
74,74,40585.721,,
75,75,38605.671,,
76,76,,,
77,77,16562.413,3.4,
78,78,1561.767,10.1,7.876
79,79,9745.079,4.2,
80,80,45229.245,,
81,81,4227.63,12.0,41.047
82,82,,,
83,83,24574.382,1.5,
84,84,,,
85,85,13593.877,,
86,86,7423.808,8.7,76.665
87,87,,,
88,88,1998.926,35.3,17.45
89,89,1548.675,67.1,6.403
90,90,7435.047,,77.159
91,91,1653.173,23.5,22.863
92,92,,,
93,93,4541.795,16.0,84.169
94,94,56054.92,,
95,95,26777.561,0.5,
96,96,46482.958,0.2,
97,97,6426.674,21.2,59.55
98,98,11188.744,5.7,64.204
99,99,,,
100,100,19082.62,0.2,
101,101,15663.986,2.5,94.576
102,102,67335.293,0.2,
103,103,,,
104,104,33132.32,0.5,
105,105,35220.084,2.0,
106,106,8193.571,,66.425
107,107,39002.223,,
108,108,,,
109,109,8337.49,0.1,
110,110,24055.588,0.1,98.999
111,111,2993.028,36.8,24.651
112,112,1981.132,,
113,113,9795.834,0.6,
114,114,65530.537,,
115,115,3393.474,1.4,89.22
116,116,6397.36,22.7,49.839
117,117,25063.846,0.7,
118,118,13367.565,,
119,119,2851.153,59.6,2.117
120,120,752.788,38.6,1.188
121,121,17881.509,,
122,122,,,
123,123,29524.265,0.7,
124,124,,,
125,125,,,
126,126,94277.965,0.2,
127,127,104861.851,,
128,128,1416.44,77.6,50.54
129,129,1095.042,71.4,8.704
130,130,26808.164,0.1,
131,131,15183.616,,95.803
132,132,2014.306,,52.232
133,133,36513.323,0.2,
134,134,3819.202,,82.502
135,135,3597.633,6.0,15.95
136,136,20292.745,0.5,
137,137,17336.469,2.5,87.847
138,138,3299.464,16.0,
139,139,5189.972,0.2,86.979
140,140,,,
141,141,11840.846,0.5,71.18
142,142,16409.288,1.0,
143,143,,,
144,144,7485.013,1.0,
145,145,1136.103,62.9,12.227
146,146,5591.597,6.4,79.287
147,147,9541.808,13.4,44.6
148,148,12895.635,,
149,149,2442.804,15.0,47.782
150,150,48472.545,,
151,151,,,
152,152,36085.843,,
153,153,5321.444,3.2,
154,154,926.0,44.5,8.978
155,155,5338.454,,41.949
156,156,,,
157,157,,,
158,158,13111.214,5.0,
159,159,,,
160,160,64800.057,0.2,
161,161,,,
162,162,37960.709,,97.4
163,163,5034.708,4.0,59.607
164,164,13240.405,,
165,165,4449.898,1.0,
166,166,22267.037,2.2,
167,167,3823.194,,
168,168,8827.01,1.7,79.602
169,169,12236.706,3.5,
170,170,7599.188,,78.463
171,171,,,
172,172,27216.445,,
173,173,27936.896,0.5,
174,174,116935.6,,
175,175,23313.199,5.7,
176,176,24765.954,0.1,
177,177,1854.211,56.0,4.617
178,178,,,
179,179,24654.385,,
180,180,12951.839,,87.202
181,181,,,
182,182,10727.146,,
183,183,6021.557,,
184,184,56861.47,,
185,185,3052.714,32.3,41.34
186,186,49045.411,,
187,187,2470.58,38.0,20.859
188,188,14048.881,,97.719
189,189,26382.287,1.1,
190,190,1390.3,52.2,19.275
191,191,85535.383,,
192,192,36327.232,,
193,193,30155.152,0.7,
194,194,31400.84,,
195,195,2205.923,25.1,35.89
196,196,,,9.831
197,197,12294.876,18.9,43.993
198,198,,,
199,199,35938.374,0.2,
200,200,1569.888,,
201,201,34272.36,1.0,
202,202,11669.077,0.7,
203,203,4466.507,,23.437
204,204,13767.119,,67.779
205,205,46949.283,0.5,
206,206,57410.166,,
207,207,,,70.598
208,208,,,
209,209,2896.913,4.8,72.704
210,210,2683.304,49.1,47.953
211,211,16277.671,0.1,90.67
212,212,6570.102,30.3,28.178
213,213,1429.813,49.2,10.475
214,214,,,
215,215,5425.621,,
216,216,28763.071,,89.443
217,217,10849.297,2.0,78.687
218,218,25129.341,0.2,
219,219,16389.023,,100.0
220,220,,,
221,221,3575.104,3.3,
222,222,1697.707,41.6,21.222
223,223,7894.393,0.1,
224,224,67293.483,,
225,225,39753.244,0.2,
226,226,54225.446,1.2,
227,227,,,
228,228,20551.409,0.1,
229,229,6253.104,,
230,230,2921.909,13.2,25.209
231,231,,,
232,232,16745.022,,
233,233,6171.884,2.0,85.847
234,234,,,
235,235,15469.207,10.0,60.13
236,236,1479.147,18.8,49.542
237,237,3689.251,57.5,13.938
238,238,1899.775,21.4,36.791
